Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.19,-0.25,-0.09,-0.16,-0.10,-0.21,-0.18,-0.10,-0.14,-0.23,-0.21,-0.18,-0.17,***,***,-0.12,-0.16,-0.20
1881,-0.20,-0.14,0.03,0.05,0.06,-0.19,0.00,-0.04,-0.16,-0.22,-0.19,-0.07,-0.09,-0.10,-0.17,0.04,-0.08,-0.19
1882,0.16,0.14,0.04,-0.17,-0.15,-0.23,-0.16,-0.07,-0.14,-0.24,-0.17,-0.36,-0.11,-0.09,0.07,-0.09,-0.16,-0.18
1883,-0.29,-0.36,-0.13,-0.18,-0.18,-0.07,-0.08,-0.15,-0.22,-0.12,-0.24,-0.12,-0.18,-0.20,-0.34,-0.16,-0.10,-0.20
1884,-0.13,-0.09,-0.37,-0.40,-0.34,-0.35,-0.31,-0.29,-0.27,-0.25,-0.34,-0.31,-0.29,-0.27,-0.11,-0.37,-0.32,-0.29
1885,-0.58,-0.34,-0.27,-0.42,-0.45,-0.44,-0.34,-0.32,-0.28,-0.24,-0.25,-0.11,-0.34,-0.35,-0.41,-0.38,-0.37,-0.26
1886,-0.44,-0.51,-0.43,-0.28,-0.25,-0.35,-0.18,-0.31,-0.24,-0.28,-0.28,-0.26,-0.32,-0.30,-0.36,-0.32,-0.28,-0.26
1887,-0.72,-0.57,-0.36,-0.35,-0.31,-0.25,-0.26,-0.36,-0.26,-0.36,-0.27,-0.33,-0.37,-0.36,-0.52,-0.34,-0.29,-0.29
1888,-0.34,-0.36,-0.41,-0.20,-0.22,-0.17,-0.10,-0.16,-0.12,0.01,0.03,-0.04,-0.17,-0.20,-0.34,-0.28,-0.14,-0.03
1889,-0.09,0.16,0.06,0.09,-0.01,-0.10,-0.08,-0.21,-0.24,-0.26,-0.34,-0.29,-0.11,-0.09,0.01,0.05,-0.13,-0.28
